Name,Date,Open,High,Low,Close,Period,,
Gram18Ayar,10/11/2017,1243210,1248060,1240670,1241590,D,,
Gram18Ayar,10/14/2017,1244130,1251060,1240900,1244130,D,,
Gram18Ayar,10/15/2017,1245050,1247360,1238360,1244590,D,,
Gram18Ayar,10/16/2017,1244130,1246900,1239980,1241130,D,,
Gram18Ayar,10/17/2017,1235590,1235590,1221740,1232820,D,,
Gram18Ayar,10/18/2017,1233050,1234900,1224740,1231430,D,,
Gram18Ayar,10/21/2017,1223350,1228200,1220350,1220580,D,,
Gram18Ayar,10/22/2017,1220810,1222660,1216430,1216890,D,,
Gram18Ayar,10/23/2017,1214350,1227510,1212960,1226350,D,,
Gram18Ayar,10/24/2017,1229120,1229360,1224510,1226120,D,,
Gram18Ayar,10/25/2017,1225660,1230280,1219890,1226590,D,,
Gram18Ayar,10/28/2017,1224280,1242050,1224280,1241360,D,,
Gram18Ayar,10/29/2017,1242050,1242510,1235360,1241130,D,,
Gram18Ayar,10/30/2017,1239510,1242280,1235360,1239740,D,,
Gram18Ayar,10/31/2017,1239980,1241360,1233510,1235590,D,,
Gram18Ayar,11/1/2017,1236970,1243670,1236970,1241820,D,,
Gram18Ayar,11/4/2017,1237670,1242750,1236050,1237670,D,,
Gram18Ayar,11/5/2017,1238130,1243900,1237090,1243440,D,,
Gram18Ayar,11/6/2017,1243900,1249670,1242280,1248980,D,,
Gram18Ayar,11/7/2017,1249670,1249670,1240670,1242510,D,,
Gram18Ayar,11/8/2017,1243900,1254520,1242750,1251520,D,,
Gram18Ayar,11/11/2017,1246210,1251520,1242750,1243670,D,,
Gram18Ayar,11/12/2017,1243900,1260290,1243440,1259370,D,,
Gram18Ayar,11/13/2017,1257980,1266290,1257980,1260980,D,,
Gram18Ayar,11/14/2017,1262140,1262140,1251290,1260520,D,,
Gram18Ayar,11/15/2017,1260060,1261680,1251750,1254060,D,,
Gram18Ayar,11/18/2017,1269760,1272070,1265600,1266760,D,,
Gram18Ayar,11/20/2017,1264220,1271830,1253130,1253370,D,,
Gram18Ayar,11/21/2017,1254290,1266520,1253130,1265370,D,,
Gram18Ayar,11/22/2017,1262830,1270450,1262830,1269060,D,,
Gram18Ayar,11/25/2017,1273680,1281070,1272070,1272070,D,,
